pressure_A,density_A,pressure_B,density_B,pressure_C,density_C,pressure_D,density_D
0.25,0.11503268,0.2616279,0.09992738,0.26744187,0.08714597,0.27906978,0.07436456
0.32267442,0.1405955,0.40697673,0.14756717,0.3633721,0.11503268,0.35755813,0.09179375
0.38372093,0.16151053,0.5116279,0.18242556,0.4360465,0.13594772,0.43313953,0.111546844
0.4360465,0.18126361,0.6104651,0.21960784,0.5261628,0.16499637,0.502907,0.13013798
0.48255813,0.19985476,0.7238372,0.26259986,0.65697676,0.20915033,0.59302324,0.15453885
0.5436047,0.22541757,0.81686044,0.29745823,0.7732558,0.24981844,0.6976744,0.1859114
0.60755813,0.25446624,0.9040698,0.33231664,0.9040698,0.29745823,0.7761628,0.20915033
0.6947674,0.2962963,0.9767442,0.36485112,1.0174419,0.34277415,0.8372093,0.23006536
0.7790698,0.3392883,1.0581396,0.40203342,1.1133721,0.38228032,0.9244186,0.25795206
0.86627907,0.38576615,1.1279069,0.44037762,1.2034883,0.4217865,1.0552325,0.303268
0.93313956,0.42875817,1.1947675,0.47988382,1.3168604,0.47523603,1.1976744,0.3567175
1.0029069,0.46942627,1.2529069,0.5159041,1.4069767,0.5240378,1.3023256,0.39389977
1.0639535,0.5100944,1.3139535,0.55657226,1.4912791,0.5670298,1.3982558,0.43572986
1.1279069,0.5530864,1.3720931,0.5925926,1.5784883,0.6135076,1.4970931,0.47639796
1.1773256,0.5879448,1.4244186,0.62977487,1.6569767,0.6530138,1.5813954,0.51706606
1.2296512,0.6251271,1.4854652,0.6681191,1.7267442,0.6890341,1.6686046,0.5577342
1.2732558,0.65882355,1.5581396,0.7157589,1.7994186,0.72737837,1.8255814,0.6309368
1.3284883,0.6994916,1.6162791,0.75526506,1.8662791,0.7622368,1.9098837,0.6657952
1.3837209,0.74015975,1.6831396,0.800581,1.9534883,0.80755264,1.9767442,0.6936819
1.4447675,0.7866376,1.755814,0.8447349,2.0465117,0.8540305,2.0726745,0.72970223
1.5406977,0.8563544,1.8197675,0.8888889,2.1424417,0.90050834,2.1540697,0.7610748
1.5872093,0.8900508,1.875,0.9237473,2.2296512,0.9423384,2.238372,0.7912854
1.6395348,0.92839503,1.9331396,0.95860565,2.3139534,0.9795207,2.3197675,0.8168482
1.6889535,0.9620915,1.9912791,0.9957879,2.389535,1.0120552,2.4011629,0.84241104
1.7383721,0.9992738,2.0348837,1.0201888,2.4476745,1.0352942,2.4709303,0.86564994
1.7936046,1.03878,2.0784883,1.0457517,2.5290697,1.0678287,2.5581396,0.8888889
1.8517442,1.081772,2.1453488,1.0840958,2.6075583,1.0945534,2.639535,0.9121278
1.9069767,1.1201162,2.2093024,1.1189543,2.6744187,1.1177922,2.7034883,0.929557
1.9709302,1.1654321,2.2790697,1.1503268,2.738372,1.1363834,2.7994187,0.95395786
2.0261629,1.2026144,2.3517442,1.1828613,2.7994187,1.1538126,2.863372,0.96906316
2.0843024,1.2397966,2.4215117,1.210748,2.8662791,1.1712419,2.9331396,0.98416847
2.1482558,1.2816267,2.4941862,1.2386347,2.9302325,1.1840233,2.9825583,0.99346405
2.2122092,1.319971,2.5465117,1.2583878,2.985465,1.1875091,,
2.2674417,1.3513435,2.6075583,1.276979,,,,
2.3313954,1.3815541,2.6744187,1.297894,,,,
2.3924417,1.4094408,2.7441862,1.318809,,,,
2.4505813,1.4315178,2.8081396,1.3374002,,,,
2.5784883,1.4861293,2.8691862,1.3525054,,,,
2.6453488,1.5105301,2.9418604,1.3687727,,,,
2.7180233,1.5372549,2.9912791,1.3803922,,,,
2.7877908,1.5628177,,,,,,
2.860465,1.5837327,,,,,,
2.9127908,1.5976762,,,,,,
2.9709303,1.6092956,,,,,,
2.9941862,1.6116195,,,,,,
